Run	Sample Characteristic[age]	Sample Characteristic Ontology Term[age]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[ecotype]	Sample Characteristic Ontology Term[ecotype]	Sample Characteristic[genotype]	Sample Characteristic Ontology Term[genotype]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Factor Value[environmental stress]	Factor Value Ontology Term[environmental stress]	Factor Value[genotype]	Factor Value Ontology Term[genotype]	Analysed
SRR988010	5 day		seedling	http://purl.obolibrary.org/obo/PO_0007131	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	ca1, ca4 double mutant		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	http://www.ebi.ac.uk/efo/EFO_0001901	elevated carbon dioxide treatment	http://purl.obolibrary.org/obo/EO_0001056	ca1, ca4 double mutant		Yes
SRR988011	5 day		seedling	http://purl.obolibrary.org/obo/PO_0007131	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	ca1, ca4 double mutant		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	http://www.ebi.ac.uk/efo/EFO_0001901	low carbon dioxide treatment		ca1, ca4 double mutant		Yes
SRR988012	5 day		seedling	http://purl.obolibrary.org/obo/PO_0007131	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	http://www.ebi.ac.uk/efo/EFO_0001901	elevated carbon dioxide treatment	http://purl.obolibrary.org/obo/EO_0001056	wild type genotype		Yes
SRR988013	5 day		seedling	http://purl.obolibrary.org/obo/PO_0007131	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	http://www.ebi.ac.uk/efo/EFO_0001901	low carbon dioxide treatment		wild type genotype		Yes
SRR988015	5 day		seedling	http://purl.obolibrary.org/obo/PO_0007131	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	ca1, ca4 double mutant		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	http://www.ebi.ac.uk/efo/EFO_0001901	low carbon dioxide treatment		ca1, ca4 double mutant		Yes
SRR988016	5 day		seedling	http://purl.obolibrary.org/obo/PO_0007131	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	ca1, ca4 double mutant		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	http://www.ebi.ac.uk/efo/EFO_0001901	low carbon dioxide treatment		ca1, ca4 double mutant		Yes
SRR988017	5 day		seedling	http://purl.obolibrary.org/obo/PO_0007131	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	http://www.ebi.ac.uk/efo/EFO_0001901	elevated carbon dioxide treatment	http://purl.obolibrary.org/obo/EO_0001056	wild type genotype		Yes
SRR988018	5 day		seedling	http://purl.obolibrary.org/obo/PO_0007131	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	http://www.ebi.ac.uk/efo/EFO_0001901	elevated carbon dioxide treatment	http://purl.obolibrary.org/obo/EO_0001056	wild type genotype		Yes
SRR988019	5 day		seedling	http://purl.obolibrary.org/obo/PO_0007131	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	http://www.ebi.ac.uk/efo/EFO_0001901	low carbon dioxide treatment		wild type genotype		Yes
SRR988020	5 day		seedling	http://purl.obolibrary.org/obo/PO_0007131	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	http://www.ebi.ac.uk/efo/EFO_0001901	low carbon dioxide treatment		wild type genotype		Yes
SRR988021	5 day		seedling	http://purl.obolibrary.org/obo/PO_0007131	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	ca1, ca4 double mutant		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	http://www.ebi.ac.uk/efo/EFO_0001901	elevated carbon dioxide treatment	http://purl.obolibrary.org/obo/EO_0001056	ca1, ca4 double mutant		Yes
SRR988022	5 day		seedling	http://purl.obolibrary.org/obo/PO_0007131	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	ca1, ca4 double mutant		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	http://www.ebi.ac.uk/efo/EFO_0001901	elevated carbon dioxide treatment	http://purl.obolibrary.org/obo/EO_0001056	ca1, ca4 double mutant		Yes
